Time:512Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
0.2265625000,3,72.0000000000,57.0000000000,66.0000000000,,,
0.2285156250,3,155.0000000000,57.0000000000,66.0000000000,,,
0.2304687500,3,242.0000000000,57.0000000000,66.0000000000,,,
0.2324218750,3,247.0000000000,57.0000000000,66.0000000000,,,
0.2343750000,3,181.0000000000,57.0000000000,66.0000000000,,,
0.2363281250,3,113.0000000000,57.0000000000,66.0000000000,,,
0.2382812500,3,113.0000000000,57.0000000000,66.0000000000,,,
0.2402343750,3,138.0000000000,57.0000000000,66.0000000000,,,
0.2421875000,3,140.0000000000,57.0000000000,66.0000000000,,,
0.2441406250,3,121.0000000000,57.0000000000,66.0000000000,,,
0.2460937500,3,88.0000000000,57.0000000000,66.0000000000,,,
0.2480468750,3,100.0000000000,57.0000000000,66.0000000000,,,
0.2500000000,4,173.0000000000,57.0000000000,66.0000000000,,,
0.2519531250,4,225.0000000000,57.0000000000,66.0000000000,,,
0.2539062500,4,197.0000000000,57.0000000000,66.0000000000,,,
0.2558593750,4,109.0000000000,57.0000000000,66.0000000000,,,
0.2578125000,4,36.0000000000,57.0000000000,66.0000000000,,,
0.2597656250,4,51.0000000000,57.0000000000,66.0000000000,,,
0.2617187500,4,102.0000000000,57.0000000000,66.0000000000,,,
0.2636718750,4,128.0000000000,57.0000000000,66.0000000000,,,
0.2656250000,4,123.0000000000,57.0000000000,66.0000000000,,,
0.2675781250,4,102.0000000000,57.0000000000,66.0000000000,,,
0.2695312500,4,66.0000000000,57.0000000000,66.0000000000,,,
0.2714843750,4,20.0000000000,57.0000000000,66.0000000000,,,
0.2734375000,4,6.0000000000,57.0000000000,66.0000000000,,,
0.2753906250,4,18.0000000000,57.0000000000,66.0000000000,,,
0.2773437500,4,27.0000000000,57.0000000000,66.0000000000,,,
0.2792968750,4,3.0000000000,57.0000000000,66.0000000000,,,
0.2812500000,4,-25.0000000000,57.0000000000,66.0000000000,,,
0.2832031250,4,-12.0000000000,57.0000000000,66.0000000000,,,
0.2851562500,4,10.0000000000,57.0000000000,66.0000000000,,,
0.2871093750,4,20.0000000000,57.0000000000,66.0000000000,,,
0.2890625000,4,20.0000000000,57.0000000000,66.0000000000,,,
0.2910156250,4,8.0000000000,57.0000000000,66.0000000000,,,
0.2929687500,4,5.0000000000,57.0000000000,66.0000000000,,,
0.2949218750,4,2.0000000000,57.0000000000,66.0000000000,,,
0.2968750000,4,-7.0000000000,57.0000000000,66.0000000000,,,
0.2988281250,4,-11.0000000000,57.0000000000,66.0000000000,,,
0.3007812500,4,-19.0000000000,57.0000000000,66.0000000000,,,
0.3027343750,4,-28.0000000000,57.0000000000,66.0000000000,,,
0.3046875000,4,-36.0000000000,57.0000000000,66.0000000000,,,
0.3066406250,4,-50.0000000000,57.0000000000,66.0000000000,,,
0.3085937500,4,-46.0000000000,57.0000000000,66.0000000000,,,
0.3105468750,4,-35.0000000000,57.0000000000,66.0000000000,,,
0.3125000000,5,-43.0000000000,57.0000000000,66.0000000000,,,
0.3144531250,5,-68.0000000000,57.0000000000,66.0000000000,,,
0.3164062500,5,-87.0000000000,57.0000000000,66.0000000000,,,
0.3183593750,5,-85.0000000000,57.0000000000,66.0000000000,,,
0.3203125000,5,-65.0000000000,57.0000000000,66.0000000000,,,
0.3222656250,5,-54.0000000000,57.0000000000,66.0000000000,,,
0.3242187500,5,-50.0000000000,57.0000000000,66.0000000000,,,
0.3261718750,5,-41.0000000000,57.0000000000,66.0000000000,,,
0.3281250000,5,-39.0000000000,57.0000000000,66.0000000000,,,
0.3300781250,5,-56.0000000000,57.0000000000,66.0000000000,,,
0.3320312500,5,-65.0000000000,57.0000000000,66.0000000000,,,
0.3339843750,5,-56.0000000000,57.0000000000,66.0000000000,,,
0.3359375000,5,-57.0000000000,57.0000000000,66.0000000000,,,
0.3378906250,5,-70.0000000000,57.0000000000,66.0000000000,,,
0.3398437500,5,-82.0000000000,57.0000000000,66.0000000000,,,
0.3417968750,5,-67.0000000000,57.0000000000,66.0000000000,,,
0.3437500000,5,-24.0000000000,57.0000000000,66.0000000000,,,
0.3457031250,5,-3.0000000000,57.0000000000,66.0000000000,,,
0.3476562500,5,-12.0000000000,57.0000000000,66.0000000000,,,
0.3496093750,5,-10.0000000000,57.0000000000,66.0000000000,,,
0.3515625000,5,9.0000000000,57.0000000000,66.0000000000,,,
0.3535156250,5,33.0000000000,57.0000000000,66.0000000000,,,
0.3554687500,5,39.0000000000,57.0000000000,66.0000000000,,,
0.3574218750,5,24.0000000000,57.0000000000,66.0000000000,,,
0.3593750000,5,3.0000000000,57.0000000000,66.0000000000,,,
0.3613281250,5,-9.0000000000,57.0000000000,66.0000000000,,,
0.3632812500,5,9.0000000000,57.0000000000,66.0000000000,,,
0.3652343750,5,56.0000000000,57.0000000000,66.0000000000,,,
0.3671875000,5,59.0000000000,57.0000000000,66.0000000000,,,
0.3691406250,5,50.0000000000,57.0000000000,66.0000000000,,,
0.3710937500,5,52.0000000000,57.0000000000,66.0000000000,,,
0.3730468750,5,67.0000000000,57.0000000000,66.0000000000,,,
0.3750000000,6,91.0000000000,57.0000000000,66.0000000000,,,
0.3769531250,6,87.0000000000,57.0000000000,66.0000000000,,,
0.3789062500,6,58.0000000000,57.0000000000,66.0000000000,,,
0.3808593750,6,43.0000000000,57.0000000000,66.0000000000,,,
0.3828125000,6,41.0000000000,57.0000000000,66.0000000000,,,
0.3847656250,6,50.0000000000,57.0000000000,66.0000000000,,,
0.3867187500,6,77.0000000000,57.0000000000,66.0000000000,,,
0.3886718750,6,86.0000000000,57.0000000000,66.0000000000,,,
0.3906250000,6,60.0000000000,57.0000000000,66.0000000000,,,
0.3925781250,6,22.0000000000,57.0000000000,66.0000000000,,,
0.3945312500,6,17.0000000000,57.0000000000,66.0000000000,,,
0.3964843750,6,41.0000000000,57.0000000000,66.0000000000,,,
0.3984375000,6,54.0000000000,57.0000000000,66.0000000000,,,
0.4003906250,6,59.0000000000,57.0000000000,66.0000000000,,,
0.4023437500,6,50.0000000000,57.0000000000,66.0000000000,,,
0.4042968750,6,36.0000000000,57.0000000000,66.0000000000,,,
0.4062500000,6,37.0000000000,57.0000000000,66.0000000000,,,
0.4082031250,6,56.0000000000,57.0000000000,66.0000000000,,,
0.4101562500,6,96.0000000000,57.0000000000,66.0000000000,,,
0.4121093750,6,104.0000000000,57.0000000000,66.0000000000,,,
0.4140625000,6,67.0000000000,57.0000000000,66.0000000000,,,
0.4160156250,6,21.0000000000,57.0000000000,66.0000000000,,,
0.4179687500,6,-12.0000000000,57.0000000000,66.0000000000,,,
0.4199218750,6,-23.0000000000,57.0000000000,66.0000000000,,,
0.4218750000,6,-19.0000000000,57.0000000000,66.0000000000,,,
0.4238281250,6,-19.0000000000,57.0000000000,66.0000000000,,,
0.4257812500,6,-10.0000000000,57.0000000000,66.0000000000,,,
0.4277343750,6,-3.0000000000,57.0000000000,66.0000000000,,,
0.4296875000,6,-2.0000000000,57.0000000000,66.0000000000,,,
0.4316406250,6,18.0000000000,57.0000000000,66.0000000000,,,
0.4335937500,6,37.0000000000,57.0000000000,66.0000000000,,,
0.4355468750,6,33.0000000000,57.0000000000,66.0000000000,,,
0.4375000000,7,19.0000000000,57.0000000000,66.0000000000,,,
0.4394531250,7,22.0000000000,57.0000000000,66.0000000000,,,
0.4414062500,7,28.0000000000,57.0000000000,66.0000000000,,,
0.4433593750,7,19.0000000000,57.0000000000,66.0000000000,,,
0.4453125000,7,8.0000000000,57.0000000000,66.0000000000,,,
0.4472656250,7,11.0000000000,57.0000000000,66.0000000000,,,
0.4492187500,7,1.0000000000,57.0000000000,66.0000000000,,,
0.4511718750,7,-30.0000000000,57.0000000000,66.0000000000,,,
0.4531250000,7,-60.0000000000,57.0000000000,66.0000000000,,,
0.4550781250,7,-67.0000000000,57.0000000000,66.0000000000,,,
0.4570312500,7,-41.0000000000,57.0000000000,66.0000000000,,,
0.4589843750,7,22.0000000000,57.0000000000,66.0000000000,,,
0.4609375000,7,75.0000000000,57.0000000000,66.0000000000,,,
0.4628906250,7,86.0000000000,57.0000000000,66.0000000000,,,
0.4648437500,7,69.0000000000,57.0000000000,66.0000000000,,,
0.4667968750,7,53.0000000000,57.0000000000,66.0000000000,,,
0.4687500000,7,61.0000000000,57.0000000000,66.0000000000,,,
0.4707031250,7,96.0000000000,57.0000000000,66.0000000000,,,
0.4726562500,7,104.0000000000,57.0000000000,66.0000000000,,,
0.4746093750,7,72.0000000000,57.0000000000,66.0000000000,,,
0.4765625000,7,40.0000000000,57.0000000000,66.0000000000,,,
0.4785156250,7,39.0000000000,57.0000000000,66.0000000000,,,
0.4804687500,7,55.0000000000,57.0000000000,66.0000000000,,,
0.4824218750,7,66.0000000000,57.0000000000,66.0000000000,,,
0.4843750000,7,51.0000000000,57.0000000000,66.0000000000,,,
0.4863281250,7,43.0000000000,57.0000000000,66.0000000000,,,
0.4882812500,7,49.0000000000,57.0000000000,66.0000000000,,,
0.4902343750,7,35.0000000000,57.0000000000,66.0000000000,,,
0.4921875000,7,24.0000000000,57.0000000000,66.0000000000,,,
0.4941406250,7,39.0000000000,57.0000000000,66.0000000000,,,
0.4960937500,7,64.0000000000,57.0000000000,66.0000000000,,,
0.4980468750,7,66.0000000000,57.0000000000,66.0000000000,,,
0.5000000000,8,59.0000000000,57.0000000000,66.0000000000,,,
0.5019531250,8,66.0000000000,57.0000000000,66.0000000000,,,
0.5039062500,8,50.0000000000,57.0000000000,66.0000000000,,,
0.5058593750,8,20.0000000000,57.0000000000,66.0000000000,,,
0.5078125000,8,1.0000000000,57.0000000000,66.0000000000,,,
0.5097656250,8,-4.0000000000,57.0000000000,66.0000000000,,,
0.5117187500,8,0.0000000000,57.0000000000,66.0000000000,,,
0.5136718750,8,-1.0000000000,57.0000000000,66.0000000000,,,
0.5156250000,8,5.0000000000,57.0000000000,66.0000000000,,,
0.5175781250,8,27.0000000000,57.0000000000,66.0000000000,,,
0.5195312500,8,51.0000000000,57.0000000000,66.0000000000,,,
0.5214843750,8,54.0000000000,57.0000000000,66.0000000000,,,
0.5234375000,8,35.0000000000,57.0000000000,66.0000000000,,,
0.5253906250,8,26.0000000000,57.0000000000,66.0000000000,,,
0.5273437500,8,39.0000000000,57.0000000000,66.0000000000,,,
0.5292968750,8,56.0000000000,57.0000000000,66.0000000000,,,
0.5312500000,8,69.0000000000,57.0000000000,66.0000000000,,,
0.5332031250,8,72.0000000000,57.0000000000,66.0000000000,,,
0.5351562500,8,71.0000000000,57.0000000000,66.0000000000,,,
0.5371093750,8,76.0000000000,57.0000000000,66.0000000000,,,
0.5390625000,8,87.0000000000,57.0000000000,66.0000000000,,,
0.5410156250,8,83.0000000000,57.0000000000,66.0000000000,,,
0.5429687500,8,72.0000000000,57.0000000000,66.0000000000,,,
0.5449218750,8,70.0000000000,57.0000000000,66.0000000000,,,
0.5468750000,8,69.0000000000,57.0000000000,66.0000000000,,,
0.5488281250,8,76.0000000000,57.0000000000,66.0000000000,,,
0.5507812500,8,76.0000000000,57.0000000000,66.0000000000,,,
0.5527343750,8,57.0000000000,57.0000000000,66.0000000000,,,
0.5546875000,8,71.0000000000,57.0000000000,66.0000000000,,,
0.5566406250,8,105.0000000000,57.0000000000,66.0000000000,,,
0.5585937500,8,121.0000000000,57.0000000000,66.0000000000,,,
0.5605468750,8,117.0000000000,57.0000000000,66.0000000000,,,
0.5625000000,9,105.0000000000,57.0000000000,66.0000000000,,,
0.5644531250,9,103.0000000000,57.0000000000,66.0000000000,,,
0.5664062500,9,93.0000000000,57.0000000000,66.0000000000,,,
0.5683593750,9,71.0000000000,57.0000000000,66.0000000000,,,
0.5703125000,9,48.0000000000,57.0000000000,66.0000000000,,,
0.5722656250,9,20.0000000000,57.0000000000,66.0000000000,,,
0.5742187500,9,9.0000000000,57.0000000000,66.0000000000,,,
0.5761718750,9,37.0000000000,57.0000000000,66.0000000000,,,
0.5781250000,9,93.0000000000,57.0000000000,66.0000000000,,,
0.5800781250,9,162.0000000000,57.0000000000,66.0000000000,,,
0.5820312500,9,198.0000000000,57.0000000000,66.0000000000,,,
0.5839843750,9,202.0000000000,57.0000000000,66.0000000000,,,
0.5859375000,9,188.0000000000,57.0000000000,66.0000000000,,,
0.5878906250,9,213.0000000000,57.0000000000,66.0000000000,,,
0.5898437500,9,253.0000000000,57.0000000000,66.0000000000,,,
0.5917968750,9,284.0000000000,57.0000000000,66.0000000000,,,
0.5937500000,9,320.0000000000,57.0000000000,66.0000000000,,,
0.5957031250,9,321.0000000000,57.0000000000,66.0000000000,,,
0.5976562500,9,296.0000000000,57.0000000000,66.0000000000,,,
0.5996093750,9,309.0000000000,57.0000000000,66.0000000000,,,
0.6015625000,9,328.0000000000,57.0000000000,66.0000000000,,,
0.6035156250,9,327.0000000000,57.0000000000,66.0000000000,,,
0.6054687500,9,338.0000000000,57.0000000000,66.0000000000,,,
0.6074218750,9,380.0000000000,57.0000000000,66.0000000000,,,
0.6093750000,9,435.0000000000,57.0000000000,66.0000000000,,,
0.6113281250,9,468.0000000000,57.0000000000,66.0000000000,,,
0.6132812500,9,465.0000000000,57.0000000000,66.0000000000,,,
0.6152343750,9,448.0000000000,57.0000000000,66.0000000000,,,
0.6171875000,9,458.0000000000,57.0000000000,66.0000000000,,,
0.6191406250,9,499.0000000000,57.0000000000,66.0000000000,,,
0.6210937500,9,534.0000000000,57.0000000000,66.0000000000,,,
0.6230468750,9,551.0000000000,57.0000000000,66.0000000000,,,
0.6250000000,10,563.0000000000,57.0000000000,66.0000000000,,,
0.6269531250,10,555.0000000000,57.0000000000,66.0000000000,,,
0.6289062500,10,508.0000000000,57.0000000000,66.0000000000,,,
0.6308593750,10,455.0000000000,57.0000000000,66.0000000000,,,
0.6328125000,10,459.0000000000,57.0000000000,66.0000000000,,,
0.6347656250,10,516.0000000000,57.0000000000,66.0000000000,,,
0.6367187500,10,579.0000000000,57.0000000000,66.0000000000,,,
0.6386718750,10,568.0000000000,57.0000000000,66.0000000000,,,
0.6406250000,10,500.0000000000,57.0000000000,66.0000000000,,,
0.6425781250,10,453.0000000000,57.0000000000,66.0000000000,,,
0.6445312500,10,472.0000000000,57.0000000000,66.0000000000,,,
0.6464843750,10,507.0000000000,57.0000000000,66.0000000000,,,
0.6484375000,10,508.0000000000,57.0000000000,66.0000000000,,,
0.6503906250,10,481.0000000000,57.0000000000,66.0000000000,,,
0.6523437500,10,468.0000000000,57.0000000000,66.0000000000,,,
0.6542968750,10,466.0000000000,57.0000000000,66.0000000000,,,
0.6562500000,10,448.0000000000,57.0000000000,66.0000000000,,,
0.6582031250,10,418.0000000000,57.0000000000,66.0000000000,,,
0.6601562500,10,403.0000000000,57.0000000000,66.0000000000,,,
0.6621093750,10,389.0000000000,57.0000000000,66.0000000000,,,
0.6640625000,10,403.0000000000,57.0000000000,66.0000000000,,,
0.6660156250,10,437.0000000000,57.0000000000,66.0000000000,,,
0.6679687500,10,427.0000000000,57.0000000000,66.0000000000,,,
0.6699218750,10,376.0000000000,57.0000000000,66.0000000000,,,
0.6718750000,10,315.0000000000,57.0000000000,66.0000000000,,,
0.6738281250,10,273.0000000000,57.0000000000,66.0000000000,,,
0.6757812500,10,278.0000000000,57.0000000000,66.0000000000,,,
0.6777343750,10,305.0000000000,57.0000000000,66.0000000000,,,
0.6796875000,10,297.0000000000,57.0000000000,66.0000000000,,,
0.6816406250,10,262.0000000000,57.0000000000,66.0000000000,,,
0.6835937500,10,227.0000000000,57.0000000000,66.0000000000,,,
0.6855468750,10,189.0000000000,57.0000000000,66.0000000000,,,
0.6875000000,11,179.0000000000,57.0000000000,66.0000000000,,,
0.6894531250,11,182.0000000000,57.0000000000,66.0000000000,,,
0.6914062500,11,186.0000000000,57.0000000000,66.0000000000,,,
0.6933593750,11,185.0000000000,57.0000000000,66.0000000000,,,
0.6953125000,11,187.0000000000,57.0000000000,66.0000000000,,,
0.6972656250,11,180.0000000000,57.0000000000,66.0000000000,,,
0.6992187500,11,150.0000000000,57.0000000000,66.0000000000,,,
0.7011718750,11,123.0000000000,57.0000000000,66.0000000000,,,
0.7031250000,11,133.0000000000,57.0000000000,66.0000000000,,,
0.7050781250,11,170.0000000000,57.0000000000,66.0000000000,,,
0.7070312500,11,179.0000000000,57.0000000000,66.0000000000,,,
0.7089843750,11,114.0000000000,57.0000000000,66.0000000000,,,
0.7109375000,11,36.0000000000,57.0000000000,66.0000000000,,,
0.7128906250,11,4.0000000000,57.0000000000,66.0000000000,,,
0.7148437500,11,17.0000000000,57.0000000000,66.0000000000,,,
0.7167968750,11,35.0000000000,57.0000000000,66.0000000000,,,
0.7187500000,11,38.0000000000,57.0000000000,66.0000000000,,,
0.7207031250,11,24.0000000000,57.0000000000,66.0000000000,,,
0.7226562500,11,0.0000000000,57.0000000000,66.0000000000,,,
0.7246093750,11,-9.0000000000,57.0000000000,66.0000000000,,,
0.7265625000,11,8.0000000000,57.0000000000,66.0000000000,,,
0.7285156250,11,12.0000000000,57.0000000000,66.0000000000,,,
0.7304687500,11,-11.0000000000,57.0000000000,66.0000000000,,,
0.7324218750,11,-53.0000000000,57.0000000000,66.0000000000,,,
0.7343750000,11,-65.0000000000,57.0000000000,66.0000000000,,,
0.7363281250,11,-43.0000000000,57.0000000000,66.0000000000,,,
0.7382812500,11,-46.0000000000,57.0000000000,66.0000000000,,,
0.7402343750,11,-73.0000000000,57.0000000000,66.0000000000,,,
0.7421875000,11,-116.0000000000,57.0000000000,66.0000000000,,,
0.7441406250,11,-138.0000000000,57.0000000000,66.0000000000,,,
0.7460937500,11,-105.0000000000,57.0000000000,66.0000000000,,,
0.7480468750,11,-29.0000000000,57.0000000000,66.0000000000,,,
0.7500000000,12,20.0000000000,57.0000000000,66.0000000000,,,
0.7519531250,12,12.0000000000,57.0000000000,66.0000000000,,,
0.7539062500,12,-20.0000000000,57.0000000000,66.0000000000,,,
0.7558593750,12,-27.0000000000,57.0000000000,66.0000000000,,,
0.7578125000,12,-3.0000000000,57.0000000000,66.0000000000,,,
0.7597656250,12,16.0000000000,57.0000000000,66.0000000000,,,
0.7617187500,12,-19.0000000000,57.0000000000,66.0000000000,,,
0.7636718750,12,-91.0000000000,57.0000000000,66.0000000000,,,
0.7656250000,12,-183.0000000000,57.0000000000,66.0000000000,,,
0.7675781250,12,-242.0000000000,57.0000000000,66.0000000000,,,
0.7695312500,12,-230.0000000000,57.0000000000,66.0000000000,,,
0.7714843750,12,-178.0000000000,57.0000000000,66.0000000000,,,
0.7734375000,12,-104.0000000000,57.0000000000,66.0000000000,,,
0.7753906250,12,-67.0000000000,57.0000000000,66.0000000000,,,
0.7773437500,12,-61.0000000000,57.0000000000,66.0000000000,,,
0.7792968750,12,-86.0000000000,57.0000000000,66.0000000000,,,
0.7812500000,12,-125.0000000000,57.0000000000,66.0000000000,,,
0.7832031250,12,-148.0000000000,57.0000000000,66.0000000000,,,
0.7851562500,12,-117.0000000000,57.0000000000,66.0000000000,,,
0.7871093750,12,-77.0000000000,57.0000000000,66.0000000000,,,
0.7890625000,12,-98.0000000000,57.0000000000,66.0000000000,,,
0.7910156250,12,-115.0000000000,57.0000000000,66.0000000000,,,
0.7929687500,12,-107.0000000000,57.0000000000,66.0000000000,,,
0.7949218750,12,-106.0000000000,57.0000000000,66.0000000000,,,
0.7968750000,12,-118.0000000000,57.0000000000,66.0000000000,,,
0.7988281250,12,-136.0000000000,57.0000000000,66.0000000000,,,
0.8007812500,12,-148.0000000000,57.0000000000,66.0000000000,,,
0.8027343750,12,-142.0000000000,57.0000000000,66.0000000000,,,
0.8046875000,12,-142.0000000000,57.0000000000,66.0000000000,,,
0.8066406250,12,-151.0000000000,57.0000000000,66.0000000000,,,
0.8085937500,12,-156.0000000000,57.0000000000,66.0000000000,,,
0.8105468750,12,-154.0000000000,57.0000000000,66.0000000000,,,
0.8125000000,13,-122.0000000000,57.0000000000,66.0000000000,,,
0.8144531250,13,-86.0000000000,57.0000000000,66.0000000000,,,
